2024-11-03 22:53:47,608 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 22:53:47,612 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:48,259 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Jane-Austen
2024-11-03 22:53:48,261 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:48,875 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-K-Rowling
2024-11-03 22:53:48,879 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:49,445 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Jane-Austen
2024-11-03 22:53:49,446 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:50,060 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Jane-Austen
2024-11-03 22:53:50,063 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:50,669 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/C-S-Lewis
2024-11-03 22:53:50,670 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:51,283 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/C-S-Lewis
2024-11-03 22:53:51,285 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:51,837 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Mark-Twain
2024-11-03 22:53:51,839 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:52,458 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Mark-Twain
2024-11-03 22:53:52,462 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:53,071 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/C-S-Lewis
2024-11-03 22:53:53,073 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:53,087 | app_logger | INFO | Запись прошла успешно!
2024-11-03 22:53:53,087 | app_logger | INFO | Переход на следующую страницу: http://quotes.toscrape.com/page/10/
2024-11-03 22:53:53,087 | app_logger | INFO | Загрузка страницы http://quotes.toscrape.com/page/10/
2024-11-03 22:53:53,688 | app_logger | INFO | Страница успешно загружена!
2024-11-03 22:53:53,688 | app_logger | INFO | Начало записи в базу данных со страницы http://quotes.toscrape.com/page/10/
2024-11-03 22:53:53,689 | app_logger | INFO | Начало сбора данных со страницы http://quotes.toscrape.com
2024-11-03 22:53:54,403 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-K-Rowling
2024-11-03 22:53:54,405 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:55,019 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Jimi-Hendrix
2024-11-03 22:53:55,023 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:55,632 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-M-Barrie
2024-11-03 22:53:55,634 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:56,247 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/E-E-Cummings
2024-11-03 22:53:56,249 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:56,852 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Khaled-Hosseini
2024-11-03 22:53:56,854 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:57,475 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Harper-Lee
2024-11-03 22:53:57,478 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:58,089 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Madeleine-LEngle
2024-11-03 22:53:58,091 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:58,666 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Mark-Twain
2024-11-03 22:53:58,668 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:59,275 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Dr-Seuss
2024-11-03 22:53:59,277 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:59,833 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/George-R-R-Martin
2024-11-03 22:53:59,836 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:59,850 | app_logger | INFO | Запись прошла успешно!
2024-11-03 22:53:59,851 | app_logger | INFO | Переход на следующую страницу: None
2024-11-03 22:53:59,851 | app_logger | INFO | Работа программы завершена.
2024-11-03 23:09:18,076 | app_logger | INFO | Связь с базой данных установлена.
2024-11-03 23:09:18,095 | app_logger | WARNING | Ошибка при подключении к базе данных: 'q'
2024-11-03 23:09:18,096 | app_logger | INFO | Запуск программы...
2024-11-03 23:09:18,096 | app_logger | INFO | Загрузка страницы http://quotes.toscrape.com
2024-11-03 23:09:18,883 | app_logger | INFO | Страница успешно загружена!
2024-11-03 23:09:18,883 | app_logger | INFO | Начало записи в базу данных со страницы http://quotes.toscrape.com
2024-11-03 23:09:18,883 | app_logger | INFO | Начало сбора данных со страницы http://quotes.toscrape.com
2024-11-03 23:09:19,455 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 23:09:19,459 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 23:09:20,111 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-K-Rowling
2024-11-03 23:09:20,113 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 23:09:20,682 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 23:09:20,685 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 23:09:21,340 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Jane-Austen
2024-11-03 23:09:21,341 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 23:09:21,956 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Marilyn-Monroe
